epoch,tarin_acc,train_loss,valid_acc,valid_loss
0001,0.24147728,1.9597225107929923,0.37931034,1.6530243363873711
0002,0.4502841,1.3941627700220456,0.5021552,1.2980477131646255
0003,0.54545456,1.1853140719009168,0.40301725,1.3466070972639939
0004,0.6221591,1.0272204930132085,0.5625,1.0309868907106334
0005,0.68655306,0.8760291678887425,0.7801724,0.7248360617407437
0006,0.7599432,0.6947038519111547,0.70689654,0.7524285059550713
0007,0.8006629,0.5904127330039487,0.8362069,0.4687400080006698
0008,0.82054925,0.4946732288508704,0.8103448,0.5385823460488484
0009,0.8357008,0.43594116407136124,0.7564655,0.6531768770053469
0010,0.8560606,0.3878146254767974,0.6271552,0.72181344751654
0011,0.87689394,0.3439535863245978,0.82327586,0.4307265718435419
0012,0.8806819,0.3165288504325982,0.8965517,0.30103170422130615
0013,0.875,0.3083501469456788,0.8663793,0.3310522871284649
0014,0.9010417,0.25008432434476685,0.87931037,0.2417846315636717
0015,0.89962125,0.2542790405057145,0.92672414,0.25936701341435825
0016,0.90577656,0.23084715433475195,0.8728448,0.39572676110627325
0017,0.9114584,0.22818073624688567,0.9590517,0.20918089562448963
0018,0.9280303,0.19267141995387096,0.9676724,0.12536037433892488
0019,0.9294508,0.18628781435616087,0.9676724,0.1267088357808775
0020,0.9427084,0.16489629087630997,0.88793105,0.23522927323035125
0021,0.939394,0.15831455116329546,0.9655172,0.11956369652059572
0022,0.95217806,0.13451388748856544,0.9784483,0.08165758793595536
0023,0.9498106,0.13176154484972358,0.9719828,0.08440518090180282
0024,0.9588069,0.1198565052878676,0.9676724,0.11242855433374643
0025,0.954072,0.12628243016572951,0.9762931,0.07585935081066243
0026,0.9607008,0.1109247811660735,0.93318963,0.16633997786918592
0027,0.9640152,0.09398756421411014,0.9353448,0.17880455944044837
0028,0.9701705,0.0975858256658257,0.9762931,0.06706496343369885
0029,0.9734849,0.0872119672377735,0.9762931,0.08740545767520008
0030,0.9749053,0.08022699050718185,0.9676724,0.08230533807313647
0031,0.9753788,0.07664671084476692,0.98922414,0.0532059519359007
0032,0.9730114,0.075259916053972,0.9698276,0.1089639353469528
0033,0.9786932,0.07057362559752425,0.9784483,0.06945565357354694
0034,0.97111744,0.07992615538585762,0.9935345,0.040907617554004336
0035,0.97821975,0.06407592958192143,0.9913793,0.030718886775189434
0036,0.9820076,0.05808201952040139,0.9655172,0.08421280620426967
0037,0.9796402,0.057843768835124196,0.9655172,0.07796918848079853
0038,0.98390156,0.05076867669369235,0.95474136,0.10104761367406824
0039,0.98295456,0.05263197200221122,0.98706895,0.04376859771055651
0040,0.9815341,0.05075962378848062,0.98922414,0.039387041253262554
0041,0.984375,0.053926246425941245,0.9913793,0.03682965269023231
0042,0.9805871,0.056807451791511004,0.98706895,0.042983670277392555
0043,0.984375,0.04166876808669644,0.98922414,0.03492834250812001
0044,0.98674244,0.037937993998639286,0.98706895,0.042036168959698285
0045,0.98674244,0.038485377057716534,0.98491377,0.04269256984718658
0046,0.98674244,0.04000552452811407,0.98706895,0.04394929202931837
0047,0.9914773,0.030532951633424753,0.9784483,0.06119095757683932
0048,0.99242425,0.029330463947685945,0.9784483,0.06708386465746524
0049,0.985322,0.039625234784607805,0.98706895,0.05329303682083264
0050,0.9910038,0.0296509361267619,0.9784483,0.05930523759813915
0051,0.98816293,0.03423959180178248,0.98706895,0.029840093350905025
0052,0.9895834,0.03066292436128468,0.98275864,0.03769084524989513
0053,0.98816293,0.03274051087580367,0.9935345,0.02838862677714948
0054,0.9905303,0.030938870947328254,0.9698276,0.10591361702195015
0055,0.99242425,0.0237352417863087,0.98922414,0.02067323017199042
0056,0.9891099,0.027396037717787265,0.9978448,0.021129454855389636
0057,0.98816293,0.03345827699575404,0.99568963,0.01791791268423649
0058,0.9914773,0.023435678957894474,0.9913793,0.02376260605624652
0059,0.9910038,0.02367881524365988,0.98922414,0.03529614698069555
0060,0.99337125,0.020878014619070615,0.98922414,0.029874472790558278
0061,0.99337125,0.022492509012491526,0.9935345,0.020138835464202767
0062,0.99289775,0.01964460740132243,0.9913793,0.02041919877479688
0063,0.9947917,0.015636340734834612,0.9913793,0.016021617539708728
0064,0.9914773,0.02019863846538955,0.99568963,0.00992146888868241
0065,0.9957387,0.015099908264484398,0.98275864,0.06020523384333877
0066,0.9966856,0.012781837459029206,0.99568963,0.011167773802299052
0067,0.9943182,0.015953756038057196,0.9978448,0.013477278208954195
0068,0.9976326,0.010361273698932067,0.99568963,0.019294058490576672
0069,0.9971591,0.012987286936329452,0.99568963,0.015549629241236132
